,players,LMU,SK,MONT1,MONT2,UVU,DIXIE,BET1,BET2,UI1,UI2,EW1,EW2,WEBER1,WEBER2,TOTAL
1,MCENTIRE,4,9,0,0,0,0,11,31,0,0,0,0,2,1,58
2,FLEMING,0,24,3,5,-9,6,27,0,-4,-1,0,1,-3,6,55
3,MOODY,9,0,0,0,0,17,4,3,-7,2,8,3,26,5,70
4,KNIGHT,-4,14,1,-1,-14,5,27,17,5,14,4,3,8,2,81
5,MARIN,0,30,-2,4,-2,-14,21,35,10,13,10,-9,14,3,113
6,JONES,2,24,-8,-2,-5,6,28,30,11,11,5,-11,20,8,119
7,FAUSETT,-11,33,6,11,-15,6,19,30,0,16,12,-11,25,-2,119
8,LATHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SPURGIN,0,18,0,0,5,0,-4,4,1,-2,-1,-2,-4,0,15
10,BUTLER,7,27,1,4,0,12,27,4,1,25,11,-20,2,-3,98
11,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MADUNIC,-2,15,-2,-12,-5,-5,0,14,2,3,3,13,19,5,48
13,COOPER,3,15,0,0,-5,0,-1,7,0,0,0,0,1,0,20
14,BARNES,0,0,0,0,0,0,8,11,0,0,0,0,6,0,25
15,MOORE,2,23,6,-4,3,2,11,0,6,-1,8,8,4,0,68
16,WILLIAMS,0,4,0,0,0,0,-8,5,0,0,0,0,0,0,1
,Totals,10,236,5,5,-47,35,170,191,25,80,60,-25,120,25,
,Game difference,2,47.2,1,1,-9.4,7,34,38.2,5,16,12,-5,24,5,
,Actual Difference,-2,48,1,1,10,7,34,39,5,16,-12,5,-24,5,
